,RD501_opfor_unit_B1,NA,,2295.53,3005.55,0.00163269,022030,'Lost Prophet',SWLB_clone_base_P2,2017,7,21,10,4
CX-X Mulkot,JLTS_Clone_P2_DC15A_501,AIR,Razor 3-1 (D),2506.05,3983.61,2.78711,025039,CX-X Mulkot,JLTS_Clone_P2_DC15A_501,2017,7,21,10,4
,SWLB_clone_RTO_base_P2,NA,,3218.81,3388.92,0.00143862,032033,7661,RD501_opfor_unit_B1_heavy,2017,7,21,10,4
,RD501_opfor_unit_B1_heavy,NA,,2276.84,2976.77,0.101599,022029,'Yeti',SWLB_clone_base_P2,2017,7,21,10,4
,JLTS_Clone_P2_marksman_501,NA,,7849.63,1613.47,0.0271382,078016,B1 - 18165,RD501_opfor_unit_B1,2017,7,21,10,4
,SWLB_clone_base_P2,NA,,3215.31,3416.37,0.00143909,032034,4776,RD501_opfor_unit_B1_heavy,2017,7,21,10,4
,RD501_opfor_unit_B1_shotgun,NA,,2271.14,3030.91,0.00143242,022030,'Yeti',SWLB_clone_base_P2,2017,7,21,10,4
,SWLB_clone_base_P2,NA,,2321.99,2901.14,0.00222611,023029,4184,RD501_opfor_unit_B1,2017,7,21,10,4
,RD501_opfor_unit_B1,NA,,2984.09,3337.79,0.00143862,029033,81784,RD501_opfor_unit_B1,2017,7,21,10,4
,RD501_opfor_unit_B1,NA,,2296.56,3013.63,0.00172424,022030,'Crash',SWLB_clone_at_base_P2,2017,7,21,10,4
,SWLB_clone_sg_base_P2,NA,,2253.37,2858.8,0.00143909,022028,Kohzad,RD501_opfor_unit_B2_droid_Super,2017,7,21,10,5
,RD501_opfor_unit_B1_heavy,NA,,7852.01,1601.23,0.00143957,078016,CT - 1696,JLTS_Clone_P2_corporal_501,2017,7,21,10,5
,RD501_opfor_unit_B1,NA,,2276.23,2986.31,0.00119972,022029,'Lost Prophet',SWLB_clone_base_P2,2017,7,21,10,5
,SWLB_clone_at_base_P2,NA,,2302.92,2873.09,-0.0110965,023028,Faruqi,RD501_opfor_unit_B2_droid_Standard,2017,7,21,10,5
,SWLB_clone_RTO_base_P2,NA,,2315.29,2867.51,0.00172997,023028,Faruqi,RD501_opfor_unit_B2_droid_Standard,2017,7,21,10,5
,SWLB_clone_at_base_P2,NA,,3219.97,3380.95,0.00143862,032033,Masood,RD501_opfor_unit_B2_droid_Super,2017,7,21,10,5
,RD501_opfor_unit_B1_heavy,NA,,7846.69,1600.5,-0.00376368,078016,CT - 1696,JLTS_Clone_P2_corporal_501,2017,7,21,10,5
,JLTS_Clone_P2_corporal_501,NA,,7949.63,1611.75,0.00142407,079016,B1 - 41987,RD501_opfor_unit_B1,2017,7,21,10,5
,RD501_opfor_unit_B1,NA,,2303.75,3003.69,0.00141525,023030,'O-Four',SWLB_clone_assault_base_P2,2017,7,21,10,5
,RD501_opfor_unit_B1,NA,,3049.93,3451.47,0.00143862,030034,3899,RD501_opfor_unit_B1_heavy,2017,7,21,10,5
,SWLB_clone_base_P2,NA,,3214.83,3410.73,0.00143909,032034,5995,RD501_opfor_unit_B1_AT_heavy,2017,7,21,10,5
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,5
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,5
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,5
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,5
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,5
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,5
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,5
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,5
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,5
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,5
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,5
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,5
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,5
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,5
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,5
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,5
